"Back","Back"
"Delete Offer","Delete Offer"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Offers","Offers"
"From Date","From Date"
"To Date","To Date"
"Created","Created"
"Modified","Modified"
"Add New Offer","Add New Offer"
"New Offer","New Offer"
"Offer Label","Offer Label"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the offer.","You saved the offer."
"The offer has been deleted.","The offer has been deleted."
"Are you sure you want to do this?","Are you sure you want to do this?"
"We can't find a offer to delete.","We can't find a offer to delete."
"Something went wrong while saving the offer.","Something went wrong while saving the offer."
"Offer Image","Offer Image"
"This offer no longer exists","This offer no longer exists"
"You duplicated the offer.","You duplicated the offer."
"Store View","Store View"
"All Store Views","All Store Views"
"from","from"
"to","to"
"To apply changes you should fill in required "%1" field","Le champ "%1" obligatoire est vide"
"Offer Title","Offer Title"
"Offer Label","Offer Label"
"Offer Start Date","Offer Start Date"
"Offer End Date","Offer End Date"
"More","More"
