"Back","Retour"
"Delete Offer","Supprimer l'offre"
"Save","Sauvegarder"
"Save & Duplicate","Sauvegarder & Dupliquer"
"Save & Close","Sauvegarder & Fermer"
"Offers","Offres"
"From Date","Valide à partir du"
"To Date","Valide Jusqu'au"
"Created","Créée le"
"Modified","Modifiée le"
"Add New Offer","Créer Une Nouvelle Offre"
"New Offer","Nouvelle Offre"
"Offer Label","Libellé de l'offre"
"A total of %1 record(s) have been deleted.","%1 enregistrement(s) ont été supprimés."
"You saved the offer.","L'offre a été sauvegardée."
"The offer has been deleted.","L'offre a été supprimée."
"Are you sure you want to do this?","Merci de confirmer cette action"
"We can't find a offer to delete.","Aucune offre n'a été trouvée."
"Something went wrong while saving the offer.","Une erreur s'est produite à la sauvegarde"
"Offer Image","Image de l'offre"
"This offer no longer exists","Cette offre a été supprimée"
"You duplicated the offer.","L'offre a été dupliquée"
"Store View","Vue Store"
"All Store Views","Toutes les vues Store"
"from","depuis"
"to","jusqu'au"
"Offer Title","Titre de l'offre"
"Offer Label","Libellé de l'offre"
"Offer Start Date","Date de début de l'offre"
"Offer End Date","Date de fin de l'offre"
"Invalid data","Données invalides"
"More","En Savoir Plus"
